id,ingredient_category_id,ingredient_id
396,7,655
397,7,656
398,7,657
399,7,658
400,7,659
401,7,660
402,7,661
403,7,662
404,7,663
405,7,664
406,10,795
407,10,796
408,10,797
409,10,798
410,10,799
411,10,800
412,10,801
413,10,802
414,10,803
415,10,804
416,10,805
417,10,806
418,10,807
419,10,808
420,10,809
421,10,810
422,10,811
423,10,812
424,10,813
425,10,814
426,10,815
427,10,816
428,10,817
429,10,818
430,10,819
431,10,820
432,10,821
433,10,822
434,10,823
435,10,824
436,10,825
437,10,826
438,10,827
439,10,828
440,10,829
441,10,830
442,10,831
443,10,832
444,10,833
445,11,834
446,11,835
447,11,836
448,11,837
449,11,838
450,11,839
451,11,840
452,11,841
453,11,842
454,11,843
455,11,844
456,11,845
457,11,846
458,11,847
459,11,848
460,11,849
461,11,850
462,11,851
463,11,852
464,11,853
465,11,854
466,11,855
467,11,856
468,11,857
469,11,858
470,11,859
471,11,860
472,11,861
473,11,862
474,11,863
475,11,864
476,11,865
477,11,866
478,11,867
479,11,868
480,11,869
481,11,870
482,11,871
483,11,872
484,11,873
485,11,874
486,11,875
487,11,876
488,11,877
489,11,878
490,11,879
491,11,880
492,11,881
493,11,882
494,11,883
495,11,884
496,11,885
