id,ingredient_category_id,ingredient_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,3,160
35,3,161
36,3,162
37,3,163
38,3,164
39,3,165
40,3,166
41,3,167
42,3,168
43,3,169
44,3,170
45,3,171
46,3,172
47,3,173
48,3,174
49,3,175
50,3,176
51,3,177
52,3,178
53,3,179
54,3,180
55,3,181
56,3,182
57,3,183
58,3,184
59,3,185
60,3,186
61,3,187
62,3,188
63,3,189
64,3,190
65,3,191
66,3,192
67,3,193
68,3,194
69,3,195
70,3,196
71,3,197
72,3,198
73,3,199
74,3,200
75,3,201
76,3,202
77,3,203
78,3,204
79,3,205
80,3,206
81,3,207
82,3,208
83,3,209
84,3,210
85,3,211
86,3,212
87,3,213
88,3,214
89,3,215
90,3,216
91,3,217
92,3,218
93,3,219
94,3,220
95,3,221
96,3,222
97,3,223
98,3,224
99,3,225
100,3,226
101,3,227
102,3,228
103,3,229
104,3,230
105,3,231
106,3,232
107,3,233
108,3,234
109,3,235
110,3,236
111,3,237
112,3,238
113,3,239
114,3,240
115,3,241
116,3,242
117,3,243
118,3,244
119,3,245
120,3,246
121,3,247
122,3,248
123,3,249
124,3,250
125,3,251
126,3,252
127,3,253
128,3,254
129,3,255
130,3,256
131,3,257
132,3,258
133,3,259
134,3,260
135,3,261
136,3,262
137,3,263
138,3,264
139,3,265
140,3,266
141,3,267
142,3,268
143,3,269
144,3,270
145,3,271
146,3,272
147,3,273
148,3,274
149,3,275
150,3,276
151,3,277
152,3,278
153,3,279
154,3,280
155,3,281
156,3,282
157,3,283
158,3,284
159,3,285
160,3,286
161,3,287
162,3,288
163,3,289
164,3,290
165,3,291
